"","...1","hit_id","query_id","biosample_id","closest_ref","distance","SRM_present","single_closest_ref","na.rm"
"1",1,"OYVD01.1117.1_2/1-80","OYVD01","SAMN06165452","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"2",2,"UEPQ01.62.1_13/64-437","UEPQ01","SAMN06115483","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"3",3,"UEPQ01.62.1_14/11-266","UEPQ01","SAMN06115483","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"4",4,"OQDE01.41009.1_2/1-77","OQDE01","SAMD00036307","['Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"5",5,"OWXA01.5389.1_2/11-266","OWXA01","SAMN05827029","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.057488,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB",TRUE
"6",6,"OWXA01.5389.1_1/97-239","OWXA01","SAMN05827029","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0735270545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"7",7,"OYPH01.2748.1_1/63-178","OYPH01","SAMN06165653","['Desulfovibrio_sp._3_1_syn3__DsvSp230', 'QUERY___Ley3_66761_scaffold_1830_dsrB', 'Desulfovibrio_sp._6_1_46AFAA__DsvSp231']",NA,TRUE,"Desulfovibrio_sp._3_1_syn3__DsvSp230",TRUE
"8",8,"UPFD01.8591.1_2/63-436","UPFD01","SAMEA2737666","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.012267,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"9",9,"UPFD01.8591.1_3/11-266","UPFD01","SAMEA2737666","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.055947,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"10",10,"UPMZ01.5950.1_5/51-395","UPMZ01","SAMEA2737808","['Gordonibacter_pamelaeae_7-10-1-b__FP929047']",0.00759335274809365,TRUE,"Gordonibacter_pamelaeae_7-10-1-b__FP929047",TRUE
"11",11,"UPMZ01.5950.1_6/3-237","UPMZ01","SAMEA2737808","['Gordonibacter_pamelaeae__GrdPame5']",0.00337426070191466,TRUE,"Gordonibacter_pamelaeae__GrdPame5",TRUE
"12",12,"UPMZ01.79208.1_1/11-136","UPMZ01","SAMEA2737808","['Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"13",13,"UPMZ01.44144.1_1/64-137","UPMZ01","SAMEA2737808","['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'QUERY___Ley3_66761_scaffold_1830_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"14",14,"ORSC01.82376.1_1/1-172","ORSC01","SAMEA2338681","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",NA,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
"15",15,"OYMM01.161.1_3/65-438","OYMM01","SAMN06165493","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.012202,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"16",16,"OYMM01.161.1_2/11-266","OYMM01","SAMN06165493","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0540590545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"17",17,"OYMM01.4356.1_1/53-210","OYMM01","SAMN06165493","['Bilophila_wadsworthia__BilWads6', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Ley3_66761_scaffold_1830_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"18",18,"OYMM01.4732.1_1/11-160","OYMM01","SAMN06165493","['Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3",TRUE
"19",19,"UEYD01.35306.1_1/33-281","UEYD01","SAMN06115506","['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",NA,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"20",20,"OPSF01.12557.1_1/64-428","OPSF01","SAMEA2042111","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0587450545663892,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA",TRUE
"21",21,"QWCE01.3417.1_7/64-437","QWCE01","SAMN09866716","['Bilophila_wadsworthia__BilWads6']",1.43512333119087e-06,TRUE,"Bilophila_wadsworthia__BilWads6",TRUE
"22",22,"QWCE01.34300.1_2/44-392","QWCE01","SAMN09866716","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.28763098423978,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2",TRUE
