OYVD01.1117.1_1/1-255,OYVD01.1117.1_1,257,403.0,5.4e-121,0.2,255,402.9,7e-124,6e-121,0.2,/scratch/users/reb26/out/dsrAB_hmmer/domtb/OYVD01_dsrAB_bact.domtblout
OYVD01.1117.1_2/1-80,OYVD01.1117.1_2,94,133.0,3e-39,0.0,80,132.9,3.9e-42,3.3e-39,0.0,/scratch/users/reb26/out/dsrAB_hmmer/domtb/OYVD01_dsrAB_bact.domtblout
UEPQ01.62.1_13/64-437,UEPQ01.62.1_13,439,641.9,5.2e-192,0.0,374,641.7,4.1e-195,6e-192,0.0,/scratch/users/reb26/out/dsrAB_hmmer/domtb/UEPQ01_dsrAB_bact.domtblout
UEPQ01.62.1_14/11-266,UEPQ01.62.1_14,484,489.1,9.7e-146,2.5,256,446.9,3.9e-136,5.8e-133,3.4,/scratch/users/reb26/out/dsrAB_hmmer/domtb/UEPQ01_dsrAB_bact.domtblout
OQDE01.41009.1_2/1-77,OQDE01.41009.1_2,79,144.1,4.3e-41,0.2,77,144.0,2.1e-44,4.7e-41,0.2,/scratch/users/reb26/out/dsrAB_hmmer/domtb/OQDE01_dsrAB_bact.domtblout
OWXA01.5389.1_2/11-266,OWXA01.5389.1_2,382,480.9,2e-143,1.4,256,446.1,4.5e-136,6.7e-133,2.1,/scratch/users/reb26/out/dsrAB_hmmer/domtb/OWXA01_dsrAB_bact.domtblout
OWXA01.5389.1_1/97-239,OWXA01.5389.1_1,241,204.0,1.3e-59,0.0,143,203.7,1.1e-62,1.7e-59,0.0,/scratch/users/reb26/out/dsrAB_hmmer/domtb/OWXA01_dsrAB_bact.domtblout
OYPH01.2748.1_1/63-178,OYPH01.2748.1_1,178,214.3,8e-64,0.5,116,214.1,4.8e-67,9.2e-64,0.5,/scratch/users/reb26/out/dsrAB_hmmer/domtb/OYPH01_dsrAB_bact.domtblout
UPFD01.8591.1_2/63-436,UPFD01.8591.1_2,438,642.3,9.3e-192,0.2,374,642.1,5.7e-195,1.1e-191,0.2,/scratch/users/reb26/out/dsrAB_hmmer/domtb/UPFD01_dsrAB_bact.domtblout
UPFD01.8591.1_3/11-266,UPFD01.8591.1_3,382,480.3,1.1e-142,0.5,256,445.8,1.6e-135,3e-132,0.9,/scratch/users/reb26/out/dsrAB_hmmer/domtb/UPFD01_dsrAB_bact.domtblout
UPMZ01.5950.1_5/51-395,UPMZ01.5950.1_5,397,604.7,2.7e-180,1.8,345,604.5,1.9e-183,3.1e-180,1.8,/scratch/users/reb26/out/dsrAB_hmmer/domtb/UPMZ01_dsrAB_bact.domtblout
